marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Volkswagen,Amarok,V6 3.0 Tdi 240 Ps Aventura Oto. 4Motion,Volkswagen Amarok V6 3.0 Tdi 240 Ps Aventura Oto. 4motion,2023,6444,2820000,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_0.jpg
Volkswagen,Amarok,V6 3.0 Tdi 240 Ps Panam. Oto. 4Motion,Volkswagen Amarok V6 3.0 Tdi 240 Ps Panam. Oto. 4motion,2023,6715,2800000,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_1.jpg
Volkswagen,Amarok,V6 3.0 Tdi 240 Ps Aventura Oto. 4Motion,Volkswagen Amarok V6 3.0 Tdi 240 Ps Aventura Oto. 4motion,2023,14700,2625000,Ankara,data/processed_images/car_20250130_130030_page_25_idx_2.jpg
Volkswagen,Amarok,V6 3.0 Tdi 240 Ps Panam. Oto. 4Motion,Volkswagen Amarok V6 3.0 Tdi 240 Ps Panam. Oto. 4motion,2023,7331,2570000,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_3.jpg
Volkswagen,Golf Gti,2.0 Tsi 245 Ps Gti Dsg,Volkswagen Golf Gti 2.0 Tsi 245 Ps Gti Dsg,2023,18660,2498000,Ankara,data/processed_images/car_20250130_130030_page_25_idx_4.jpg
Volkswagen,Golf Gti,2.0 Tsi 245 Ps Gti Dsg,Volkswagen Golf Gti 2.0 Tsi 245 Ps Gti Dsg,2023,6551,2490000,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_5.jpg
Volkswagen,Golf Gti,2.0 Tsi 245 Ps Gti Dsg,Volkswagen Golf Gti 2.0 Tsi 245 Ps Gti Dsg,2023,6013,2490000,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_6.jpg
Volkswagen,Tiguan,1.5 Tsi Act 150 Ps R-Line Dsg,Volkswagen Tiguan 1.5 Tsi Act 150 Ps R-line Dsg,2023,16917,2429000,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_7.jpg
Volkswagen,Amarok,2.0 Tdi 205 Ps Style Plus Oto. 4Motion,Volkswagen Amarok 2.0 Tdi 205 Ps Style Plus Oto. 4motion,2023,32227,2398000,Ankara,data/processed_images/car_20250130_130030_page_25_idx_8.jpg
Volkswagen,Tiguan,1.5 Tsi Act 150 Ps R-Line Dsg,Volkswagen Tiguan 1.5 Tsi Act 150 Ps R-line Dsg,2023,45779,2310000,Kayseri,data/processed_images/car_20250130_130030_page_25_idx_9.jpg
Volkswagen,Caravelle,Comfortline 2.0 Tdi 8+1 Uzun 150 Ps Dsg,Volkswagen Caravelle Comfortline 2.0 Tdi 8+1 Uzun 150 Ps Dsg,2023,6326,2290000,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_10.jpg
Volkswagen,Amarok,V6 3.0 Tdi 240 Ps Panam. Oto. 4Motion,Volkswagen Amarok V6 3.0 Tdi 240 Ps Panam. Oto. 4motion,2023,41870,2249500,İstanbul,data/processed_images/car_20250130_130030_page_25_idx_11.jpg
Volkswagen,Tiguan,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Tiguan 1.5 Tsi Act 150 Ps Elegance Dsg,2023,43720,2025000,Konya,data/processed_images/car_20250130_130032_page_26_idx_0.jpg
Volkswagen,Tiguan,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Tiguan 1.5 Tsi Act 150 Ps Elegance Dsg,2023,39415,1995000,Ankara,data/processed_images/car_20250130_130032_page_26_idx_1.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Elegance Dsg,2023,28549,1895000,Kayseri,data/processed_images/car_20250130_130032_page_26_idx_2.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Elegance Dsg,2023,23217,1895000,Adana,data/processed_images/car_20250130_130032_page_26_idx_3.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,22587,1890000,Ankara,data/processed_images/car_20250130_130032_page_26_idx_4.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Elegance Dsg,2023,14540,1845000,Adana,data/processed_images/car_20250130_130032_page_26_idx_5.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Elegance Dsg,2023,23466,1845000,Kayseri,data/processed_images/car_20250130_130032_page_26_idx_6.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Elegance Dsg,2023,26953,1829900,İstanbul,data/processed_images/car_20250130_130032_page_26_idx_7.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Elegance Dsg,2023,12800,1820000,Çanakkale,data/processed_images/car_20250130_130032_page_26_idx_8.jpg
Volkswagen,Tiguan,1.5 Tsi Act 150 Ps Life Dsg,Volkswagen Tiguan 1.5 Tsi Act 150 Ps Life Dsg,2023,25166,1818000,Ankara,data/processed_images/car_20250130_130032_page_26_idx_9.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,14432,1809900,İstanbul,data/processed_images/car_20250130_130032_page_26_idx_10.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,14297,1809900,Çanakkale,data/processed_images/car_20250130_130032_page_26_idx_11.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Elegance Dsg,2023,29079,1799900,İstanbul,data/processed_images/car_20250130_130034_page_27_idx_0.jpg
