marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Hyundai,Accent,Blue 1.6 Crdi Mode Plus,2016 BİNİCİ İÇİN TEMİZ OTOMATİK ACCENT BLUE,2016,235000,565000,Gaziantep Şehitkamil,data/processed_images/car_20250130_125106_page_1_idx_0.jpg
Ford,Focus,1.5 Tdci Trend X,Galeriden Ford Focus 1.5 TDCi Trend X 2018 Model Diyarbakır,2018,156000,875000,Diyarbakır Bismil,data/processed_images/car_20250130_125106_page_1_idx_1.jpg
Renault,Clio,0.9 Tce Joy,2020 RENAULT CLİO JOY 0.9 TCE 110.000 KM AĞIR BAKIMLARI YENİ MASRAFSIZ,2020,110000,609000,İzmir Menderes,data/processed_images/car_20250130_125106_page_1_idx_2.jpg
Peugeot,508,1.6 E-Hdi Active,HATASIZ BOYASIZ PEUGEOT 508DİZEL OTOMATİK ACTİVE PAKET FULL+FULL,2015,179000,920000,Isparta Merkez,data/processed_images/car_20250130_125106_page_1_idx_3.jpg
Volkswagen,Jetta,1.2 Tsi Bluemotion Trendline,Volkswagen Jetta 1.2 TSi BlueMotion İlk sahibinden,2016,132000,747500,Malatya Doğanşehir,data/processed_images/car_20250130_125106_page_1_idx_4.jpg
Nissan,Micra,1.2 Match,Galeriden Nissan Micra 1.2 Match 2018 Model Bursa,2018,65000,767000,Bursa Osmangazi,data/processed_images/car_20250130_125106_page_1_idx_5.jpg
Nissan,Micra,1.2 Passion,Galeriden Nissan Micra 1.2 Passion 2006 Model İzmir,2006,126500,529999,İzmir Buca,data/processed_images/car_20250130_125106_page_1_idx_6.jpg
Renault,Clio,1.3 Tce Touch,ŞAKİR OTODAN 2020 MODEL RENAULT CLİO 1.3 TCE TOUCH PAKET,2020,125000,895000,Bursa Osmangazi,data/processed_images/car_20250130_125106_page_1_idx_7.jpg
Renault,Clio,1.5 Dci Icon,SİNAN AUTO DAN ÇOK TEMİZ CLİO,2017,184000,670000,Muş Merkez,data/processed_images/car_20250130_125106_page_1_idx_8.jpg
Renault,Megane,1.5 Dci Joy,SİNAN AUTO DAN HATASIZ AYARINDA MEGANE 4,2018,164000,850000,Muş Merkez,data/processed_images/car_20250130_125106_page_1_idx_9.jpg
Volkswagen,Passat,2.0 Tdi Bluemotion Comfortline,Galeriden Volkswagen Passat 2.0 TDi BlueMotion Comfortline 2019 Model İstanbul 117.670 km Beyaz,2019,117670,1395000,İstanbul Beylikdüzü,data/processed_images/car_20250130_125106_page_1_idx_10.jpg
Toyota,Auris,1.4 D-4D Comfort,2008 MODEL AURİS - OTOMATİK VİTES - COMFORT,2008,307000,485000,Yozgat Sorgun,data/processed_images/car_20250130_125106_page_1_idx_11.jpg
Fiat,500,Ailesi 500L 1.3 Mjet Popstar,2014 MODEL 1.3 MULTİJET FİAT 500 L BAKIMLI 218.000 BİN KM DE,2014,218404,585000,Antalya Alanya,data/processed_images/car_20250130_125106_page_1_idx_12.jpg
Peugeot,308,1.6 Thp Feeline Plus,Sahibinden Peugeot 308 1.6 THP Feeline Plus 2011 Model,2011,180000,650000,İstanbul Esenyurt,data/processed_images/car_20250130_125106_page_1_idx_13.jpg
Nissan,Micra,1.2 Mood,Sahibinden Nissan Micra 1.2 Mood 2007 Model İstanbul,2007,213600,340000,Sakarya Karasu,data/processed_images/car_20250130_125106_page_1_idx_14.jpg
Skoda,Octavia,1.6 Tdi Style,NAZAR'DAN?2019 Octavia 1.6 TDİ Style Dsg Servis Bakımlı Kat.Ayna,2019,165000,1269000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_15.jpg
Volvo,S60,1.6 D Advance,NAZAR'DAN?2015 Volvo S60 1.6 D Advance Hafıza Koltuk Otm.Vites,2015,310000,799000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_16.jpg
Volkswagen,Jetta,1.6 Tdi Comfortline,NAZAR'DAN?2015 Jetta 1.6 TDİ Comfortline DSG Sunroof İçi Bej,2015,103000,1259000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_17.jpg
Volkswagen,Golf,1.6 Tdi Bluemotion Midline Plus,NAZAR'DAN?2015 Golf 1.6 TDİ Bluemotion Midline Plus Bakımlı,2015,233000,759000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_18.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Comfortline,ÖzÇETİN AUTO DAN HATASIZ PASSAT TAKAS DEĞERLENDİRİLİR,2015,235000,1029000,Şanlıurfa Birecik,data/processed_images/car_20250130_125106_page_1_idx_19.jpg
Volkswagen,Passat,Variant 1.6 Tdi Bluemotion Comfortline,18AY TAKSİTLE BOYASIZ-HATASIZ CAM TAVAN DİZEL OTOMATİK PASSAT B8,2015,166000,1200000,İstanbul Bağcılar,data/processed_images/car_20250130_125106_page_1_idx_20.jpg
Bmw,5 Serisi,520D Premium,2011 MODEL HATASIZ BOYASIZ BMW 5.20D DIŞ M İÇ BEJ SUNROOF COBRA,2011,313000,1275000,Ankara Çankaya,data/processed_images/car_20250130_125106_page_1_idx_21.jpg
Renault,Clio,1.5 Dci Touch,Özgür OTOMOTİVDEN CLİO TOUCH 1.5 dcı,2018,216000,615000,Kocaeli İzmit,data/processed_images/car_20250130_125106_page_1_idx_22.jpg
Volkswagen,Golf,1.4 Tsi Highline,Volkswagen Golf 1.4 TSi Highline Cam Tavan,2013,175000,1000000,İzmir Bergama,data/processed_images/car_20250130_125106_page_1_idx_23.jpg
Renault,Clio,1.5 Dci Icon,HATASIZ RENAULT CLİO 1.5DCİ İCON 90HP START&STOP İÇİ KIRMIZI K.K 9 TAKSİT..,2013,177000,615000,İstanbul Bağcılar,data/processed_images/car_20250130_125106_page_1_idx_24.jpg
Renault,Clio,1.5 Dci Joy,GALERİ PLUS'TAN 2018 Renault Clio JOY 1.5 DCİ Manuel,2018,122000,625000,Konya Karatay,data/processed_images/car_20250130_125106_page_1_idx_25.jpg
Mercedes-Benz,C,200 Amg,"2022 MODEL-32,000 km-AMG-EQ HYBRİD-4MATİC-C.TAVAN+ISITMA+SOĞUTMA",2022,32000,2820000,İstanbul Ataşehir,data/processed_images/car_20250130_125106_page_1_idx_26.jpg
Citroen,C3,1.2 Puretech Shine,-HATASIZ-BOYASIZ-TRAMERSİZ-OTOMATİK-2019-SHİNE PAKET-84.000 KMDE,2019,84000,895000,Konya Karatay,data/processed_images/car_20250130_125106_page_1_idx_27.jpg
Renault,Fluence,1.5 Dci Business,HATASIZ AYARINDA 2 PARÇA BOYALI DEĞİŞENSİZ 2010 MODEL,2010,269900,509000,Konya Selçuklu,data/processed_images/car_20250130_125106_page_1_idx_28.jpg
Volkswagen,Passat,2.0 Tdi Comfortline,KUSURSUZ TEMİZLİKTE Volkswagen Passat 2.0 TDi Comfortline 2006 Model,2006,314000,565000,Isparta Merkez,data/processed_images/car_20250130_125106_page_1_idx_29.jpg
Fiat,Egea,1.3 Multijet Easy,2016 TURAN BOZOĞLAN HATASIZ HASARSIZ FİAT EGEA easy paket,2016,265000,515000,Hatay Antakya,data/processed_images/car_20250130_125106_page_1_idx_30.jpg
Toyota,Corolla,1.6 Xei,AB AUTO'dan 1997 COROLLA XEİ MASRAFSIZ KLİMALI - UYGUN RAKAM,1997,310000,315000,Kahramanmaraş Dulkadiroğlu,data/processed_images/car_20250130_125106_page_1_idx_31.jpg
Fiat,Egea,1.3 Multijet Easy Plus,Fiat Egea 1.3 Multijet Easy Plus 2020 Model Kayseri,2020,124000,769000,Kayseri Develi,data/processed_images/car_20250130_125106_page_1_idx_32.jpg
Renault,Megane,1.4 Authentique,Renault Megane 1.4 Authentique 2005 Model,2005,235000,355000,İzmir Buca,data/processed_images/car_20250130_125106_page_1_idx_33.jpg
Volkswagen,Golf,1.6 Tdi Comfortline,HATASIZ TEMiZLİKTE BOYASIZ GOLF 6,2010,288000,499000,Gaziantep Şahinbey,data/processed_images/car_20250130_125106_page_1_idx_34.jpg
Volkswagen,Passat,2.0 Tdi Bluemotion Comfortline,2013 PASSAT OTAMATİK,2013,280000,629000,Gaziantep Şahinbey,data/processed_images/car_20250130_125106_page_1_idx_35.jpg
Renault,Megane,1.5 Dci Authentique,2009 model CAM GİBİ MEGAN 2,2009,299750,339000,Gaziantep Şahinbey,data/processed_images/car_20250130_125106_page_1_idx_36.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Trendline,PASSAT 2017 1.6 BMT+TDİ TRENDLİNE İLK ELDEN FULL YTK.SRV BAKIMLI,2017,135299,1323900,Sakarya Serdivan,data/processed_images/car_20250130_125106_page_1_idx_37.jpg
Fiat,Egea,1.4 Fire Urban Plus,İLK SAHİBİNDEN 63 BİNDE HATASİZ BOYASİZ TRAMERSİZ FİAT EGEA URBAN PLAS,2020,63000,686500,Zonguldak Ereğli,data/processed_images/car_20250130_125106_page_1_idx_38.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Highline,HATASIZ CAM TAVAN +HAYALET+NAVİGASYON İCİ BEJ R-LİNE GORUNUMLU,2015,115000,1500000,Antalya Alanya,data/processed_images/car_20250130_125106_page_1_idx_39.jpg
Audi,A4,Sedan 2.0 Tdi,Galeriden Audi A4 Sedan 2.0 TDI 2014 Model Şanlıurfa,2014,255000,890000,Şanlıurfa Karaköprü,data/processed_images/car_20250130_125106_page_1_idx_40.jpg
Opel,Corsa,1.4 Enjoy,DOKTORDAN OTOMATİK HATASIZ KAYITSIZ,2019,81000,839750,İzmir Karşıyaka,data/processed_images/car_20250130_125106_page_1_idx_41.jpg
Bmw,3 Serisi,320I Ed M Plus,KARTA*12*TAKSİT*BMW*2013*320iED*M-TECH*NBT*DERİ*COİL*G.GÖRÜŞ*,2013,224000,889950,İstanbul Ataşehir,data/processed_images/car_20250130_125106_page_1_idx_42.jpg
Renault,Symbol,1.5 Dci Authentique,ÖZSAĞLAM'dan 2012 Model Symbol 1.5DCİ 262Binde Klimalı Masrafsız,2012,262000,337750,Konya Karatay,data/processed_images/car_20250130_125106_page_1_idx_43.jpg
Renault,Fluence,1.5 Dci Touch,2016 FLUENCE 1.5-ORJİNAL-DÜZGÜN-DÜŞÜK KM-24 AY TAKSİT-,2016,155000,674750,Bolu Merkez,data/processed_images/car_20250130_125106_page_1_idx_44.jpg
Renault,Latitude,1.5 Dci Expression,"HATASIZ BOYASIZ TRAMERSİZ LATUTUDE 1,5 DCİ EXPRESYON",2013,247686,644900,Denizli Pamukkale,data/processed_images/car_20250130_125106_page_1_idx_45.jpg
Peugeot,107,1.0 Trendy,''CAR INVEST'' 2008 PEUGEOT 107 1.0 TRENDY 2-TRONİC OTOMATİK,2008,107000,489000,İstanbul Kadıköy,data/processed_images/car_20250130_125106_page_1_idx_46.jpg
Tofaş,Doğan,L,SIFIR VİZE FUL BAKIMLI ÇOĞU YERİ ORJİNAL,1990,59000,165000,Konya Yunak,data/processed_images/car_20250130_125106_page_1_idx_47.jpg
Citroen,C-Elysee,1.5 Bluehdi Feel,Sahibinden Citroen C-Elysee 1.5 BlueHDi Feel 2022 Model,2022,65800,645000,İstanbul Avcılar,data/processed_images/car_20250130_125106_page_1_idx_48.jpg
Fiat,Linea,1.4 Fire Active,Galeriden Fiat Linea 1.4 Fire Active 2007 Model Eskişehir,2007,243000,385000,Eskişehir Odunpazarı,data/processed_images/car_20250130_125106_page_1_idx_49.jpg
Peugeot,306,1.8 Xr,"ORJİNAL 115,000 KM OTOMATİK VİTES KLİMALI TERTEMİZ",1998,115000,452000,İstanbul Ümraniye,data/processed_images/car_20250130_125107_page_2_idx_2.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Comfortline,2019 DEĞİŞENSİZ COMFORT,2019,190000,1450000,Aydın Nazilli,data/processed_images/car_20250130_125107_page_2_idx_3.jpg
Fiat,Egea,1.3 Multijet Urban,2018 HATASIZ FİAT EGEA 1.3 MULTİJET URBAN 95 HP EURO 6 MOTOR LED'Lİ FAR,2018,175000,687000,Samsun Bafra,data/processed_images/car_20250130_125107_page_2_idx_4.jpg
Renault,Clio,1.5 Dci Grandtour Authentique,"AKSU OTOMOTİV 2012 MODEL 1,5 DCİ CLİO GRANDTOUR BOYASIZ HATASIZ ORJİNAL 187000 KM DE",2012,187000,478500,Mersin Yenişehir,data/processed_images/car_20250130_125107_page_2_idx_5.jpg
Mini,Cooper,1.5 D Chili,"E.K CARS... HATASIZ, BAKIMLI MİNİ COOPER 1.5 D CHİLİ-PEPPER...",2015,99000,995000,Kırıkkale Merkez,data/processed_images/car_20250130_125107_page_2_idx_7.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Highline,17 ÇIKIŞ 105KM İÇİ BEJ CAM TAVAN HAYALET SERVİS BAKIMLI,2016,105000,1685000,Adıyaman Kahta,data/processed_images/car_20250130_125107_page_2_idx_8.jpg
Honda,Civic,1.6 I-Vtec Eco Executive,AKTÜRK'TEN 2018 .HONDA CİVİC 1.6 İ-VTEC ECO EXECUTİVE FULL,2018,122000,1210000,Kocaeli Derince,data/processed_images/car_20250130_125107_page_2_idx_9.jpg
Fiat,Brava,1.6 Sx,Galeriden Fiat Brava 1.6 SX 1999 Model Çorum,1999,240000,285000,Çorum İskilip,data/processed_images/car_20250130_125107_page_2_idx_10.jpg
Opel,Astra,1.6 Gls,TEMİZ BAKIMLI ASTRA SEDAN 1.6 GLS ECOTECH 225.170 KMDE KLİMALI,1997,225170,314900,Denizli Pamukkale,data/processed_images/car_20250130_125107_page_2_idx_11.jpg
Volkswagen,Passat,1.6 Fsi Comfortline,TERTEMİZ BAKIMLI B6 KASA PASSAT 1.6 FSI COMFORTLİNE,2005,308500,519900,Denizli Pamukkale,data/processed_images/car_20250130_125107_page_2_idx_12.jpg
Volkswagen,Polo,1.4 Tdi Comfortline,GALERİDEN FULL YETKİLİ SERVİS BAKIMLI 2017 MODEL POLO DİZEL OTOMATİK,2017,166000,729000,İstanbul Çekmeköy,data/processed_images/car_20250130_125107_page_2_idx_13.jpg
Hyundai,I20,1.4 Crdi Jump,103.000 Kmde ORJİNAL HATASIZ İ-20 JUMP CRDİ,2015,103000,655000,Ankara Altındağ,data/processed_images/car_20250130_125107_page_2_idx_14.jpg
Hyundai,Accent,Era 1.4 Team,Galeriden Hyundai Accent Era 1.4 Team 2011 Model Kütahya,2011,137000,530000,Kütahya Tavşanlı,data/processed_images/car_20250130_125107_page_2_idx_15.jpg
Volkswagen,Golf,1.2 Tsi Midline Plus,Galeriden Volkswagen Golf 1.2 TSi Midline Plus 2015 Model Kütahya,2015,209000,825000,Kütahya Tavşanlı,data/processed_images/car_20250130_125107_page_2_idx_16.jpg
Chevrolet,Aveo,1.4 Se,ER CAR İZMİR DEN 2012 55.000'KM DEĞİŞENSİZ KAYITSIZ OTOMATİK,2012,55000,525000,İzmir Gaziemir,data/processed_images/car_20250130_125107_page_2_idx_17.jpg
Bmw,3 Serisi,318I Edition Sport Line,Sahibinden BMW 3 Serisi 318i Edition Sport Line 2017 Model,2017,92700,1650000,İstanbul Kadıköy,data/processed_images/car_20250130_125107_page_2_idx_18.jpg
Hyundai,Elantra,1.6 Crdi Style Plus,TANIK KARDEŞLERDEN HATASIZ BOYASIZ DÜŞÜK KM ELENTRA OTOMATİK,2018,117000,995000,Konya Kulu,data/processed_images/car_20250130_125107_page_2_idx_19.jpg
Opel,Corsa,1.4 Twinport Enjoy 111,CORSA 1.4 TWINPORT ENJOY 111 - TAM OTOMATİK - 128 BİN KM -100 HP,2010,128000,625000,Ordu Fatsa,data/processed_images/car_20250130_125107_page_2_idx_20.jpg
Ford,Fiesta,1.25 Trend X,ORJ 160.000 KM DEĞİŞENSİZ MASRAFSIZ LPG Lİ ÇOK TEMİZ FİESTA,2014,160000,577000,Isparta Merkez,data/processed_images/car_20250130_125107_page_2_idx_21.jpg
Renault,Megane,1.3 Tce Joy Comfort,OTOMATİK 2022 MODEL MEGANE 1.3 TCE 140BG.JOY COMFORT GARANTİLİ,2022,69000,1110000,Trabzon Akçaabat,data/processed_images/car_20250130_125107_page_2_idx_22.jpg
Volkswagen,Polo,1.2 Tsi Allstar,UGR MOTORS'DAN HATASIZ BOYASIZ 2016 ALLSTAR 1.2TSİ DSG VW POLO,2016,120000,875000,Tekirdağ Süleymanpaşa,data/processed_images/car_20250130_125107_page_2_idx_23.jpg
Fiat,Palio,1.2 El Weekend,2001 PALİO 1.2 75 LİK BENZİN+LPG KREDİ KARTINA TEK ÇEKİM,2001,400000,235000,Samsun İlkadım,data/processed_images/car_20250130_125107_page_2_idx_24.jpg
Renault,Symbol,1.5 Dci Expression,RENAULT SYMBOL 1.5 DCI EXPRESSİON 85 BG 166.000 KM.DE KLİMA ABS,2009,170000,399000,Konya Karatay,data/processed_images/car_20250130_125107_page_2_idx_25.jpg
Volkswagen,Passat,1.9 Tdi Comfortline,MASRAFSIZ.1.9 TDİ. PASSAT,1999,335000,259000,İzmir Konak,data/processed_images/car_20250130_125107_page_2_idx_26.jpg
Fiat,Linea,1.6 Multijet Dynamic,Galeriden Fiat Linea 1.6 Multijet Dynamic 2009 Model Mersin,2009,330000,425000,Mersin Toroslar,data/processed_images/car_20250130_125107_page_2_idx_27.jpg
Peugeot,508,1.6 Bluehdi Business,KARION DAN 2016 PEUGEOT 508 1.6 BLUEHDI BUSINESS,2016,260000,749000,Ankara Çankaya,data/processed_images/car_20250130_125107_page_2_idx_28.jpg
Bmw,3 Serisi,320I 50Th Year M Edition,Galeriden BMW 3 Serisi 320i 50th Year M Edition 2023 Model Ankara,2023,18500,3150000,Ankara Keçiören,data/processed_images/car_20250130_125107_page_2_idx_29.jpg
Seat,Leon,1.4 Ecotsi Fr,LEON FR OTOMATİK 150 HP CAM TAVANLI 129.000 KM TERTEMİZ,2016,129000,1055000,Antalya Muratpaşa,data/processed_images/car_20250130_125107_page_2_idx_30.jpg
Fiat,Linea,1.3 Multijet Pop,TUDA OTOMOTİV-2013/1.3 MJET/POP/180.000 KM/FİAT LINEA,2013,180000,425000,Ankara Sincan,data/processed_images/car_20250130_125107_page_2_idx_31.jpg
Renault,Megane,1.6 Joy,Demir Otomotiv den Megane 1.6 Joy 2018,2018,110000,850000,Adana Kozan,data/processed_images/car_20250130_125107_page_2_idx_32.jpg
Hyundai,I30,1.6 Gdi Style,DELFİ MOTORS'TAN DEĞİŞENSİZ DÜŞÜK KM İ30 1.6 GDI STYLE,2014,140000,710000,Kocaeli Gebze,data/processed_images/car_20250130_125107_page_2_idx_33.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Impression,Galeriden Volkswagen Passat 1.6 TDi BlueMotion Impression 2020 Model Adana,2020,205000,1225000,Adana Çukurova,data/processed_images/car_20250130_125107_page_2_idx_34.jpg
Bmw,1 Serisi,118I Joy Plus,Bodrum da BMW 1 Serisi 118i Joy Plus 2016 Model Muğla,2016,116000,995000,Muğla Bodrum,data/processed_images/car_20250130_125107_page_2_idx_35.jpg
Mercedes-Benz,C,180 Kompressor Blueefficiency Fascination,Mercedes C 180 Kompressor BlueEfficiency Sunroof 2010 Model,2010,340000,795000,Konya Karatay,data/processed_images/car_20250130_125107_page_2_idx_36.jpg
Skoda,Superb,1.6 Tdi Style,2016-SUPERB-1.6TDI-özel(CHP) Plaka,2016,254400,935000,İzmir Karabağlar,data/processed_images/car_20250130_125107_page_2_idx_37.jpg
Honda,Civic,1.6 I-Vtec Eco Elegance,Değişensiz -2014 Model Honda Civic 1.6 i-VTEC ECO Elegance,2014,174000,895000,Ankara Polatlı,data/processed_images/car_20250130_125107_page_2_idx_38.jpg
Opel,Vectra,1.6 Comfort,ADEM ALTINOK DAN 2004 DEGİŞENSİZ VECTRA C,2004,303000,369000,Denizli Pamukkale,data/processed_images/car_20250130_125107_page_2_idx_39.jpg
Volvo,V40,1.5 T3 Inscription,Sahibinden Volvo V40 1.5 T3 Inscription 2018 Model,2018,48700,1315000,İstanbul Kağıthane,data/processed_images/car_20250130_125107_page_2_idx_40.jpg
Volkswagen,Jetta,1.6 Tdi Comfortline,NOKTA BOYASIZ DEĞİŞENSZ OTOMATİK VW JETTA K.K 12 TAKSİT,2013,205000,817750,Adana Seyhan,data/processed_images/car_20250130_125107_page_2_idx_41.jpg
Peugeot,207,1.4 Hdi Dynamic,GaleridenDEĞİŞENSİZ Peugeot 207 1.4 HDi Dynamic 2011 Model Ankara,2011,225000,445000,Ankara Keçiören,data/processed_images/car_20250130_125107_page_2_idx_42.jpg
Alfa Romeo,Giulietta,1.6 Jtd Progression,2016 BOYASIZ TRAMERSİZ DİZEL OTOMATİK,2016,150000,839000,Ankara Çankaya,data/processed_images/car_20250130_125107_page_2_idx_43.jpg
Honda,Civic,1.4 I S,HONDA CİVİC 1.4 i S TAM GÜVENLİK OTOMATİK VİTES,1998,350000,368750,Kocaeli Körfez,data/processed_images/car_20250130_125107_page_2_idx_44.jpg
Mercedes-Benz,B,180 D Style,HATASIZ BOYASIZ DEĞİŞENSİZ TRAMERSİZ MERCEDES B180 DİZEL OTOMATİK ÇOK TEMİZ,2019,85000,1575000,İzmir Konak,data/processed_images/car_20250130_125107_page_2_idx_45.jpg
Peugeot,208,1.2 Puretech Signature,2019 CAM TAVANLI 208 SİGNATURE EAT6 TAM OTOMATİK 1.2 110 HP,2019,139000,689000,Ankara Akyurt,data/processed_images/car_20250130_125107_page_2_idx_46.jpg
Opel,Corsa,1.3 Cdti Enjoy 111,Galeriden Opel Corsa 1.3 CDTI Enjoy 111 2010 Model Konya,2010,205000,459750,Konya Selçuklu,data/processed_images/car_20250130_125107_page_2_idx_47.jpg
Renault,Fluence,1.5 Dci Dynamique,Galeriden Renault Fluence 1.5 dCi Dynamique 2011 Model Eskişehir,2011,214000,565000,Eskişehir Odunpazarı,data/processed_images/car_20250130_125107_page_2_idx_48.jpg
Mercedes-Benz,Cla,200 Amg,Sahibinden Mercedes - Benz CLA 200 AMG 2013 Model,2013,42000,1740000,Bartın Merkez,data/processed_images/car_20250130_125107_page_2_idx_49.jpg
Audi,A6,Sedan 2.0 Tdi Quattro,2018 ORJİNAL 135 BİN KM GARANTİLİ AUDİ A6 2.0 TDI QUATTRO VAKUM MATRİX ÇİFT NAVİ 4K ISITMA,2018,135000,2428850,Ankara Altındağ,data/processed_images/car_20250130_125123_page_3_idx_0.jpg
Bmw,5 Serisi,520I Special Edition Luxury,2020 BMW 5.20 SPECİAL EDİTİON LUXURY TABA DERİ LAZER HAYALET HARMAN KARDON E.BAGAJ VAKUM,2020,140000,2528850,Ankara Altındağ,data/processed_images/car_20250130_125123_page_3_idx_1.jpg
Renault,Megane,1.3 Tce Joy Comfort,MTT-CAR'DAN TERTEMİZ BAKIMLI MEGANE 4 JOY COMFORT,2021,122000,905900,İstanbul Ümraniye,data/processed_images/car_20250130_125123_page_3_idx_2.jpg
Fiat,Egea,1.4 Fire Easy,2022 FİAT EGEA 1.4FİRE EASY HATASIZ BOYASIZ 90.000KM,2022,90000,649000,Bursa Nilüfer,data/processed_images/car_20250130_125123_page_3_idx_3.jpg
Volkswagen,Golf,1.4 Tsi Comfortline,Sahibinden Volkswagen Golf 1.4 TSi Comfortline 2017 Model,2017,73000,1249000,Antalya Döşemealtı,data/processed_images/car_20250130_125123_page_3_idx_4.jpg
Renault,Clio,1.0 Tce Touch,TARI OTOMOTİV'DEN 2020 MODEL CLİO 1.0 TCE TOUCH PAKET *OTOMATİK,2020,164000,785000,Zonguldak Kozlu,data/processed_images/car_20250130_125123_page_3_idx_5.jpg
Bmw,3 Serisi,320D M Sport,ESG MOTORS//BMW 3.20d 184Hp HATASIZ BOYASIZ TRAMERSİZ TABA DERİ,2012,356000,1250000,Adana Seyhan,data/processed_images/car_20250130_125123_page_3_idx_6.jpg
Fiat,Egea,1.3 Multijet Easy,ESG MOTORS//2021 EGEA 1.3MULTIJET2 EURO6 İLK ELDEN %20KDV,2021,129000,665000,Adana Seyhan,data/processed_images/car_20250130_125123_page_3_idx_7.jpg
Volkswagen,Passat,1.4 Tsi Bluemotion Highline,2011 MODEL YENİ KASA PASSAT OTOMATİK VİTES HIGLİNE PAKET TR'DE EN UYGUN ARAÇ,2011,355000,695000,Kayseri Kocasinan,data/processed_images/car_20250130_125123_page_3_idx_8.jpg
Volkswagen,Jetta,1.2 Tsi Comfortline,2011 MODEL JETTA 1.2 TSI COMFORT PAKET HATASIZ BOYASIZ HASAR KAYITSIZ,2011,280000,650000,Kayseri Kocasinan,data/processed_images/car_20250130_125123_page_3_idx_9.jpg
Fiat,Linea,1.3 Multijet Easy,TUDA OTOMOTİV'DEN LINEA EASY 2013 FIRSATI !!!,2013,313000,402000,Ankara Sincan,data/processed_images/car_20250130_125123_page_3_idx_10.jpg
Bmw,5 Serisi,520D Premium,ANTİK MOTORS SERVİS BAKIMLI 2010 BMW 520D LCI JOYSTİCK,2010,320000,925000,Mersin Yenişehir,data/processed_images/car_20250130_125123_page_3_idx_11.jpg
Renault,Fluence,1.5 Dci Touch,2014 MODEL RENAULT FLUENCE 1.5 dCi TOUCH ÇELİK JANT-DOUBLE EKRAN,2014,179087,529750,İstanbul Ataşehir,data/processed_images/car_20250130_125123_page_3_idx_12.jpg
Renault,R,19 1.6 Europa Rna,Renault R 19 1.6 Europa RNE 2000 Model Ordu 204.000 KM DE KOMLE ORJİNAL TÜM BAKIMLARI YENİ,2000,203000,299000,Ordu Fatsa,data/processed_images/car_20250130_125123_page_3_idx_13.jpg
Renault,Clio,1.0 Tce Joy,KARADAĞ MOTORS 2021 MODEL OTOMATİK 64 BİN KM CLİO,2021,64000,819000,İstanbul Bağcılar,data/processed_images/car_20250130_125123_page_3_idx_14.jpg
Renault,Symbol,1.5 Dci Expression Plus,Galeriden Renault Symbol 1.5 dCi Expression Plus 2011 Model Batman,2011,278000,360000,Batman Merkez,data/processed_images/car_20250130_125123_page_3_idx_15.jpg
Opel,Corsa,1.2 T Gs,Galeriden Opel Corsa 1.2 T GS 2023 Model Ankara,2023,14800,1190000,Ankara Keçiören,data/processed_images/car_20250130_125123_page_3_idx_16.jpg
Ford,Focus,1.6 Tdci Trend,2006 MODEL FOKUS DİZEL 110 LUK (KART GEÇERLİ),2006,391000,324000,Adıyaman Kahta,data/processed_images/car_20250130_125123_page_3_idx_17.jpg
Ford,Fiesta,1.5 Tdci Titanium,Sahibinden Ford Fiesta 1.5 TDCi Titanium 2013 Model,2013,120000,620000,İstanbul Küçükçekmece,data/processed_images/car_20250130_125123_page_3_idx_18.jpg
Peugeot,207,1.4 Trendy,2011 MODEL OTOMATİK VİTES 110 BİN KM'DE EN TEMİZİNDEN 207,2011,110000,485000,Balıkesir Karesi,data/processed_images/car_20250130_125123_page_3_idx_19.jpg
Bmw,5 Serisi,530D Standart,MAKYAJLI 193HP GÜMRÜK GİRİŞ EŞSİZ HATASIZ DEĞİŞENSİZ E39 530D!!!,2001,469000,625000,Niğde Merkez,data/processed_images/car_20250130_125123_page_3_idx_20.jpg
Peugeot,301,1.2 Puretech Active,-EYÜPOĞLU MOTOR'S-,2019,108000,519900,Diyarbakır Kayapınar,data/processed_images/car_20250130_125123_page_3_idx_21.jpg
Mercedes-Benz,190,E 2.0,KARTA TAKSİT İMKANI İLE-1989 MERCEDES 190E-2.0 LPG'li-MASRAFSIZ,1989,372000,259750,Sakarya Erenler,data/processed_images/car_20250130_125123_page_3_idx_22.jpg
Volkswagen,Polo,1.2 Tsi Comfortline,KERVAN OTOMOTİV'DEN WW POLO OTOMATİK HATASIZ BOYASIZ,2015,198000,790000,Nevşehir Merkez,data/processed_images/car_20250130_125123_page_3_idx_23.jpg
Renault,Clio,1.5 Dci Icon,ATA HYUNDAI PLAZADAN 2015 RENAULT CLIO 1.5 DCI ICON HATASIZ,2015,121830,716750,Ankara Çankaya,data/processed_images/car_20250130_125123_page_3_idx_24.jpg
